ticker,company_name,cik,github_owner,huggingface_author,value_chain_bucket,product_focus,include_in_pilot
NVDA,NVIDIA Corporation,0001045810,NVIDIA,nvidia,compute,CUDA and AI infrastructure,true
MSFT,Microsoft Corporation,0000789019,microsoft,microsoft,cloud_platform,Azure AI and Copilot,true
GOOGL,Alphabet Inc.,0001652044,google,google,model_platform,Gemini and Google Cloud AI,true
META,Meta Platforms Inc.,0001326801,facebookresearch,meta-llama,model_application,Llama and consumer AI,true
PLTR,Palantir Technologies Inc.,0001321655,palantir,,enterprise_application,AIP enterprise adoption,true
